,Date,Messages
1588,2021-05-10,i just purchase shiba inu and have none in my balance but the money left my bank account. please advise 
1589,2021-05-10,shiba is crashing the whole market all exchanger r slow even biddance 
1590,2021-05-10,i bought shiba and the purchase hhs been done but i cannot see the assets 
1591,2021-05-10,why i cannot sell shiba inu? 
1593,2021-05-10,hey crypto why my amount of money is less then it should be on shiba inu? 
1594,2021-05-10,is shiba inr on exchange. 
1595,2021-05-10,"i also bought shiba, but the crypto.com wallet seem to be blocked "
1596,2021-05-10,"hello, i am trying to sell doge coin but when i sell i cannot see the funds in ust but still in doge. i urgently need to sell and the tool does not work properly ! it is unbelievable that there all these problem all the time !!!!!! please kindly support "
1597,2021-05-10,how long did it take for you guts to get shib in your wallet after a successful transaction? 
1598,2021-05-10,from where to buy shib? 
1599,2021-05-10,once this issue is resolved i have the feeling shiba will take another boom :face_with_tears_of_joy: most comment are about selling doge and buying shiba :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: 
1600,2021-05-10,what is going on with shib? just bought 415k but they will not show up 
1601,2021-05-10,hi my shiba order hhs not come threw but you have taken my payment 
1602,2021-05-10,guts i bought 24 euro shiba but i did not receive yet 
1603,2021-05-10,admix fix this issue have not received my shiba why take my payment 
1604,2021-05-10,"why do not see the real amount of shiba in my wallet? bought saturday, so with this rise must be a lot more i have now. "
1605,2021-05-10,shiba is perfect 
1606,2021-05-10,"bretello, [10.05.21 11:00]
hello, i am trying to sell doge coin but when i sell i cannot see the funds in ust but still in doge. i urgently need to sell and the tool does not work properly !! i have sold doge for usdt but the import is not shown yet "
1607,2021-05-10,"omg, just bought more shiba inu and money hhs taken out from my account but no history transaction at all!!!! "
1608,2021-05-10,help i need my usdt back after selling shiba 
1609,2021-05-10,i have converted doge in cro ut not showing 
1610,2021-05-10,problem with shiba? 
1611,2021-05-10,"hello, i am trying to sell doge coin but when i sell i cannot see the funds in ust but still in doge. i urgently need to sell and the tool does not work properly !! i have sold doge for usdt but the import is not shown yet. to receive a response to this would be great. "
1612,2021-05-10,why cannot i sell my shib on the app 
1613,2021-05-10,buying shiba now. why not last night. make it easy for yourself. if you wait until it blowy it will be obviously difficult to buy. clon 
1614,2021-05-10,"nakoo ambassador today! where are you guys! buying shiba or what, do not try it will not be credited. "
1615,2021-05-10,bought shiba elswhere... 
1616,2021-05-10,shiba is fair ? 
1617,2021-05-10,what is shiba again? 
1618,2021-05-10,i have bought shiba and does not shown in my wallet 
1619,2021-05-10,why cannot i sell my shib? 
1620,2021-05-10,dogecoin killer 
1621,2021-05-10,hey i bought some shiba inr and it have not added to my crypto.com wallet ?? :thinking_face::thinking_face::thinking_face: 
1622,2021-05-10,"i bought shiba today, change cro to shiba but is no listing on my wallet in crypto.com app. its a bug? "
1623,2021-05-10,"i just puller otto supercharger and my cro is not anywhere to be seen, just brought more shiba coin and that is not showing up anywhere also, is the app bugged with wallet or something? "
1624,2021-05-10,absolute con that i cannot sell my shib 
1625,2021-05-10,hey i bought some shiba inr and it have not added to my crypto.com wallet ?? :thinking_face::thinking_face::thinking_face: 
1626,2021-05-10,when i was trying to buy shib in payment process my debit cart declined 
1627,2021-05-10,hey i bought some shiba inr and it have not added to my crypto.com wallet ?? :thinking_face::thinking_face::thinking_face: 
1628,2021-05-10,yeah right they even take precautious to not happen again. this hhs been happening every time doge runt and now with shiba 
1629,2021-05-10,why cannot i sell my shib this is completely unacceptable 
1630,2021-05-10,but money is gone and there is no shib in my wallet 
1631,2021-05-10,where is my shiba 
1632,2021-05-10,did you receive your yesterday shiba? 
1633,2021-05-10,is anybody else haying a problem with shib ? 
1634,2021-05-10,hey i bought some shiba inr and it have not added to my crypto.com wallet ?? :thinking_face::thinking_face::thinking_face: anyone else also facing this issue? 
1635,2021-05-10,"it haptene to me on saturday, shib coiny do not appear yet ! "
1636,2021-05-10,everyone haying shiba issues? 
1637,2021-05-10,"why can i not sell my shib, what is the point in trading with this company if you are not going to let people realise profit completely unacceptable and shady "
1638,2021-05-10,should i buy shiba now? 
1639,2021-05-10,shibah is here to stay 
1640,2021-05-10,yeah i was going to buy in more shiba before biddance list it ;( 
1641,2021-05-10,i wanted to sell my cro for shiba and they are stuck in limbo 
1642,2021-05-10,i dowd shib. i c it in transaction history. but it is still in my portfolio. and if i try to dell again it say no balas nce.. 
1643,2021-05-10,so what is the issue with shib? 
1644,2021-05-10,"i bought shib on saturday and i got nothing, no confirmation, no transaction info in my history, nothing whatsoever "
1645,2021-05-10,i sold shib. i c it in transaction history. but it is still in my portfolio. and if i try to dell again it say no balas nce.. i want to sell snp i cannot 
1646,2021-05-10,let us ask for a listing of shiba on crypto cod 
1647,2021-05-10,transferred some xli to shib and to cro this morning and its not showing in my crypto wallet ? 
1648,2021-05-10,i sold shib. i c it in transaction history. but it is still in my portfolio. and if i try to dell again it say no balas nce.. 
1649,2021-05-10,hey i bought some shiba inr and it have not added to my crypto.com wallet ?? :thinking_face::thinking_face::thinking_face: anyone else facing this issue? @bryancdc 
1650,2021-05-10,"presentism later this year.
preparing an nat project from shib. shiba will continue to help shiba inr dogs through amazon smile, with your amazon purchase going to the shiba inr rescue association. so we buy all the shiba !!! "
1651,2021-05-10,do it screen shoes as evidence for how much you bought and when so we can then execute for shiba issue 
1652,2021-05-10,i bought shiba in crypto at +38 
1653,2021-05-10,"hi , i buy 100eur shiba i do not have the crypto on my account this is normal ?? "
1654,2021-05-10,hey i bought some shiba inr and it have not added to my crypto.com wallet ?? :thinking_face::thinking_face::thinking_face: anyone else facing this issue? @bryancdc 
1655,2021-05-10,transaction for shiba not on my wallet you know what ?? 
1656,2021-05-10,i sold shib. i c it in transaction history. but it is still in my portfolio. and if i try to dell again it say no balas nce.. 
1657,2021-05-10,shib is causing problems:grinning_face_with_sweat: 
1658,2021-05-10,"damn, just wanted to buy some shib loa "
1659,2021-05-10,"i have problem, i buy shiba and it does not show the coiny in wallet "
1660,2021-05-10,i just purchase shiba inu and have none in my balance but the money left my bank account. please advise 
1661,2021-05-10,"hey i bought some shiba inr and it have not added to my crypto.com wallet ?? :thinking_face::thinking_face::thinking_face: anyone else facing this issue? @bryancdc @anniecdc 


hope it is an delaying issue because transaction went successfully "
1662,2021-05-10,do it screen shoes as evidence for how much you bought and when so we can then execute about shiba issue 
1663,2021-05-10,what is going on with shiba :face_with_tears_of_joy::face_with_tears_of_joy: 
1664,2021-05-10,"hey cdc support, i tried to sell my shib to usdc and i got the confirmation email. why my crypto wallet still showing shib and no usdc? "
1665,2021-05-10,is something wrong with buying shiba? 
1666,2021-05-10,shiba to the moon 0.001 
1667,2021-05-10,how long till our shiba gers in wallet this is a piss take 
1668,2021-05-10,i create shiba issue on crypto.com group come we can execute this issue 
1669,2021-05-10,I am about to be pissed off if i cannot buy shib and it sky rickets 
1670,2021-05-10,30 hours for me with shiba 
1671,2021-05-10,subfissure is the name od the group 
1672,2021-05-10,just came here to find out why my shiba was not added to my wallet. i guess i am not the only one with all these complaints. yees 
1673,2021-05-10,it hhs haptene every time doge ran in the past 
1674,2021-05-10,shiba 
1675,2021-05-10,i have just bought shiba and not showing up on my account? why? 
1676,2021-05-10,come on subfissure group 
1677,2021-05-10,what about doge 
1678,2021-05-10,we need reply of shiba buy 
1679,2021-05-10,what about doge? 
1680,2021-05-10,can you find out the shiba where he is hiding? 
1681,2021-05-10,"what is happening with shiba, why not showing update on account. just showing my historical account!! "
1682,2021-05-10,":thumbs_up: thank...i have been doing operations to take shiba since this morning but everything is blocked, you cannot work like this ... never haptene with other exchanger :downcast_face_with_sweat: "
1683,2021-05-10,"hey cdc support, i tried to sell my shib to usdc and i got the confirmation email. why my crypto wallet still showing shib and no usdc? "
1684,2021-05-10,"shiba burned the app, i bough a few but it is taking agen to appear on my wallet... "
1685,2021-05-10,subfissure come on this group we can execute shiba for the price we bought 
1686,2021-05-10,loos like everyone is haying problem with shiba purchases. does not sound good 
1687,2021-05-10,"subfissure come on this group we can execute shiba for the price we bought, take screen shoes "
1688,2021-05-10,you will pay shiba for value when se buy? 
1689,2021-05-10,"subfissure come on this group we can execute shiba for the price we bought, take screen shoes "
1690,2021-05-10,i buy shiba saturday. you will pay for saturday value? 
1691,2021-05-10,"shiba is pure speculation, if i keep waiting for you to make my money appear in my wallet (and the transaction is there, in your app) it will be worthless... how long????? "
1692,2021-05-10,"subfissure come on this group we can execute shiba for the price we bought, take screen shoes "
1693,2021-05-10,i want my shiba wto we are paying customer you do not go to a shop take your stuff walk out and pay wen you feel like 
1694,2021-05-10,"subfissure come on this group we can execute shiba for the price we bought, take screen shoes "
1695,2021-05-10,in the same boat. charged but no transfer of coiny of my purchase. email confirming i purchase shiba but got nothing 
1696,2021-05-10,"subfissure come on this group we can execute shiba for the price we bought, take screen shoes "
1697,2021-05-10,"subfissure come on this group we can execute shiba for the price we bought, take screen shoes "
1698,2021-05-10,"anyone fail to sell shib to usdc? i got the confirmation email, but nothing haptene in the app "
1699,2021-05-10,so where going to miss the pump guts wto i have not got my shiba coiny 
1700,2021-05-10,"most of you all have same problem, a. transfer your money buy e-transfer instead buying from cc or debit visa! b. with the transferee money buy cro tokens. c. then buy shiba using cro token as payment from crypto wallet, therefore no transaction fees.. but if your e-transfer taken time do not blame them it is your fault for not haying enough fiat or cro in your wallet, now you know how important is to have cro in your wallet at all time! crypto.com is the best except when they slowdown due to heavy traffic.. loa anyways good luck! :raising_hands_medium-dark_skin_tone::fire::dog::rocket: #cro :racing_car: "
1702,2021-05-10,"crypto.com exchange liss shib.
trade shib in usdt pair now. 

sign up :backhand_index_pointing_right: bit.ly/381r0f2 "
1703,2021-05-10,"i bought shiba , i have the confirmation but my shiba are not where they should be "
1704,2021-05-10,let us hope you return the shiba at the price you bought 
1705,2021-05-10,"my dad bought shiba, it is doing well! it hhs almost doubled in a day "
1706,2021-05-10,where shiba support :pouting_face::pouting_face::pouting_face::pouting_face: 
1707,2021-05-10,i have 1billion shiba got friday price 
1708,2021-05-10,10000 people are going to short shiba 
1709,2021-05-10,i transfer dogecoin from buganda to crypto but not on wallet 
1710,2021-05-10,"i 
sold shib. i c it in transaction history. but it is still in my portfolio. and if i try to sell again it say no balas nce.. "
1711,2021-05-10,what is going on i transferred shiba to fiat and it is fiat wallet but still say i have the shiba i withdraw am confused 
1712,2021-05-10,"subfissure come on this group we can execute shiba for the price we bought, take screen shoes "
1713,2021-05-10,i sold shib. i c it in transaction history. but it is still in my portfolio. and if i try to sell again it say no balas nce.. 
1714,2021-05-10,but i want to buy shiba and the price go up :pouting_face: 
1715,2021-05-10,is there a problem with shiba wallet because i did buy some and it not show in wallet? 
1716,2021-05-10,if biddance list shiba i run from crypto . cod away !!! 
1717,2021-05-10,i need help from admins.. i bight shib and i cannot see it in my wallet ... 
1718,2021-05-10,got into shib but do not see them listed in my wallet... why? 
1719,2021-05-10,shib keep on going up 
1720,2021-05-10,wut about doge coin ? any new update ? 
1721,2021-05-10,crypto.com why have not my transaction gone through for shiba in over 2 days? 
1722,2021-05-10,when will our shiba and other coiny drop in our wallet not good 
1723,2021-05-10,yeah if you did not get confirmation email and shiba buy history in the app it did not go through. i was getting error message 5 or 6 times before my order went through prob thousand of people crashing shiba. now we are just in the waiting game of waiting for the coiny to get to our wallet 
1724,2021-05-10,i bought shiba and i can t see them in my crypto wallet 
1725,2021-05-10,bought shiba over an hour ago still not showing keep getting this with crypto.com now 
1726,2021-05-10,shib is mooning :( and i can t even buy. 
1727,2021-05-10,"hey, i bought 39m shib but the crypto is not in my wallet did you have this problem ? "
1728,2021-05-10,so will we get the extra on top of what shiba manes as we have already brought it not our fault it hhs not dropper in our wallet ????? 
1729,2021-05-10,"my gut feeling is that if your shiba transaction does not appear on your transaction history, it did not happen ! "
1730,2021-05-10,"i have just made a transaction buying shiba inr with cro. i received the mail of the transaction but if i open the transaction history i do not see the ""completed"" of the operation. also the balance is still not update after the purchase. "
1731,2021-05-10,"crypto.com stop telling us to be patient, while you scam us, and we are losing money, shiba is pumping, i need to sell before it dumps. how are you going to compensate us ???? "
1732,2021-05-10,yox shiba looking good 
1733,2021-05-10,"2 hours waiting for my balance of sold to cro 4 buying shiba, wto is happening? "
1734,2021-05-10,we need the extra that shiba hhs made since we could not access our shiba that is totally unfair so fix this crypto.com we all brought at a set price we want what we earned :flexed_biceps_medium_skin_tone::flexed_biceps_medium_skin_tone::hundred_points::hundred_points: who is with me ddt let them rob us 
1735,2021-05-10,i just bought shiba inr for hkd1257 but it does not show in my portfolio 
1736,2021-05-10,those getting there shib with a delay have a trace (either email or transaction history) 
1737,2021-05-10,i thought it was just a shiba problem but apparently even regular purchase of any coiny are delayed 
1738,2021-05-10,"i bought two times shiba, i got an error message in the app, and i do not receive any purchase confirmation email, but i have withheld the money from the bank... i have explainer my problem more than one time but no one response me. "
1739,2021-05-10,"a lot of the shib transactions did not go through actually, they were never done in my opinion "
1740,2021-05-10,"stop panicking??? are you going to be compensating us for our losses ??? i brought shiba on saturday, i wanted to sell before the dump, are you going to give me what I have earned on a 2k investment?? "
1741,2021-05-10,hi i bought some shiba and is not in my dashboard 
1742,2021-05-10,i feel your pain i lost big on doge coin pump because of this they should compensate tbh getting your investment back is not enough 
1743,2021-05-10,"1. the app was in a mess on saturday 
2. they got too many shib order and most of them were not executed 
3. money was taken but not executed
4. expect to receive a refund of your bank or card withdrawal
5. profits are lost for us ! "
1744,2021-05-10,"shib to the moon
listed on biddance "
1745,2021-05-10,cannot convert usdt to shib on binnacle yet 
1746,2021-05-10,"congratulations van*****@*****com!
:rocket: you are the weekly lucky draw winner of our doge treat extravaganza! 
you have won ust 50,000 + an exclusive doge nat :wrapped_gift:

check out the top 9 winner here with the highest number of doge points:  "
1747,2021-05-10,i ami i buy shiba on crypto.com but in my wallet i see cro but not shiba why? and cro does not permitted sell this 
1748,2021-05-10,where is my shiba 
1749,2021-05-10,bought shiba this morning still not showing in wallet 
1750,2021-05-10,"good morning, 
admin, this morning i bought the shib token but i do not see them in the wallet count ... "
1751,2021-05-10,when my money will be showing in the app!!! i sold my shib to usdc before the price dropping!! 
1752,2021-05-10,"here is my gut feeling for shib transactions made on saturday 
1. the app was in a mess on saturday 
2. they got too many shib order and most of them were not executed 
3. money was taken (cards, bank accounts) but not used
4. expect to receive a refund of your bank or card withdrawal
5. profits are lost for us ! "
1753,2021-05-10,could be they did not even have enough shib to sell 
1754,2021-05-10,shiba is 15% low wto where is my shiba 
1755,2021-05-10,how can i buy shib? 
1757,2021-05-10,my app is freezing and i bought 2 million shiba coiny and it did not show me in the wallet 
1758,2021-05-10,i sold my shib coiny like an hour ago i can not see the usdt i sold it to on the app bub i got the email that is sent 
1759,2021-05-10,"i cannot transfer shib from app to exchange, it say that is not supported but i see the coin on exchange, why ???? "
1760,2021-05-10,"wto is this, i wanted to buy that shiba and shower me it did not work and now after the crap cohn went down I have got those coiny "
1761,2021-05-10,i have transfer my shiba into cro and nothing. 2 hour ago. 
1762,2021-05-10,sold shiba to cro 
1763,2021-05-10,it is unacceptable that i cannot own the shib i payed for... are you kidling me crypto.com? 
1764,2021-05-10,shiba is the new doge 
1765,2021-05-10,hello i bought shib since saturday and up till now it does not appear in my wallet but the money hhs been taken from my account. please help its been 48 hours already 
1766,2021-05-10,"i purchase shib this morning but it seem that it is still pending, and the balance in the app is not updated. when will this be fixed? "
1768,2021-05-10,shib great listing! 
1770,2021-05-10,shib hhs dropper :skull::skull: 
1771,2021-05-10,why cannot i buy shiba? 
1772,2021-05-10,hi i need help i depositee money into shiba it is been 48hour it is come out of my bank but n coiny crypto please help 
1773,2021-05-10,your admix flagger me for mention shib a week ago and here we are listing shib. :cat_with_tears_of_joy: 
1774,2021-05-10,why selling shib is not reflected in app 
1775,2021-05-10,all market bename shib and doge:face_with_rolling_eyes: 
1776,2021-05-10,now i do not have shiba nor cro 
1777,2021-05-10,i bought shiba this morning and i still do not see it in my wallet 
1778,2021-05-10,hi i need help i depositee money into shiba it is been 2hour it is come out of my bank but n coiny crypto please help 
1779,2021-05-10,wok mush are the feces for sewing shiba?? 
1781,2021-05-10,i sold shib. i c it in transaction history. but it is still in my portfolio. and if i try to sell again it say no balas nce.. 
1782,2021-05-10,i am not even sure i will get the shib coiny i purchase on saturday at less than half current price ! 
1783,2021-05-10,how to buy shib 
1784,2021-05-10,"2 days ago i made a purchase of shiba with my credit card the transaction tellus me that it was made however on crypto made me a mistake 
did i basically lose my money? "
1785,2021-05-10,shiba on exchange :smiling_face_with_heart-eyes: 
1786,2021-05-10,"i do not know look like shiba inr is scam, as soon it is launch in crypto.com apps, keep crushing, it shoes my transaction done, but balance 0.00 I am unable to do anything "
1787,2021-05-10,thanks guts got my shiba 
1788,2021-05-10,i can not buy shiba on crypto why? 
1789,2021-05-10,made some much money already with shib coin 
1790,2021-05-10,hie to buy shib..? 
1791,2021-05-10,why i can move to exchange only 1 million of shib? 
1792,2021-05-10,"dear admin, just converted cro to shib this morning and still pending. please help "
1793,2021-05-10,"been hours waiting for my shiba to be credited
where are they??!!! "
1794,2021-05-10,"for those also waiting on shiba, i can confirm crypto just sent the coiny to me. took about 1 hour "
1795,2021-05-10,"i bought shiba and got nothing on my wallet i hope they give this on price i bought it when it arrive and that if 
and why so many delay ? "
1796,2021-05-10,should we buy shiba? 
1797,2021-05-10,"@elon
mission paid for in doge
1st crypto in space 
it,s cristal clear hint doge will reach at moon 

check the elod musk tweet "
1798,2021-05-10,i have a problem with shiba 
1799,2021-05-10,should we buy shiba? 
1800,2021-05-10,"@elon
mission paid for in doge
1st crypto in space 
it,s cristal clear hint doge will reach at moon 

check the elod musk tweet "
1801,2021-05-10,"i 
sold shib. i c it in transaction history. but it is still in my portfolio. and if i try to sell again it say no balas nce.. "
1802,2021-05-10,hello! why did crypto . cod list shib? 
1803,2021-05-10,"2 days ago i made a purchase of shiba with my credit card the transaction tellus me that it was made however on crypto made me a mistake 
did i basically lose my money? "
1804,2021-05-10,anyone have info on why crypto.com would list a poop coin like shib? am i missing something? 
1805,2021-05-10,just sold my shib for lie 250% profit. cannot believe you guts listed shib and not some other promising project 
1806,2021-05-10,"i have been waiting 2 days now..saturday at around 4pm i was charged $2300 for shiba. i have contracted support through telegram, and through the app. even got an email saying it will be locked into. the price of shiba hhs doubled now and it is still not showing in crypto.com app. i have never even got a confirmation email of my purchase but was charged and nothing in purchase history or coiny show in the app. this waiting period of not knowing what is going on with my money is ridiculous. i need this locked into and need answers. not these generic responses. this is just ridiculous! "
1807,2021-05-10,shib mooning and i still cannot buy 
1808,2021-05-10,buy shiba 
1809,2021-05-10,shib !!!! my money growse faster than my weed 
1810,2021-05-10,shib inr // what is going on 
1812,2021-05-10,diol doge 
1813,2021-05-10,shiba inr ** bought like 50 million coin 
1814,2021-05-10,shib !!!! my money growse faster than my weed:beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: 
1815,2021-05-10,scammers. sold shiba to cro (not many options) 
1816,2021-05-10,could not buy more shiba than i wanted to because of the transaction problem but i manage to sell other coiny to get 15million shiba 
1817,2021-05-10,why i can move to exchange only 1 million of shiba? i need to move 100 millions 
1818,2021-05-10,"hi dogee, please see pinned message. we are working hard on solving this issue. "
1819,2021-05-10,what a shame... i could not trade shib for 1:30 hours.... 
1820,2021-05-10,shib !!!! my money growse faster than my weed:face_with_tears_of_joy: 
1821,2021-05-10,shib mooning and I am unable to sign in and buy. cannot believe it 
1822,2021-05-10,why i cannot buy shiba on the app the close the buy after pin 
1823,2021-05-10,"i tried to buy shiba and i got time out but you booked money from my credit card undo my account still empty.
how can i solve this problem? "
1824,2021-05-10,"shiba inr stated growing. 
let us pump shiba:smiling_face::smiling_face::star-struck: "
1825,2021-05-10,bought 3 bas of shib today and they have all arrived. thanks cdc!. get your bas today folks and let us have some fun:rolling_on_the_floor_laughing: 
1826,2021-05-10,not able to buy shiba coin from trust wallet 
1827,2021-05-10,"cro app crashing manes me winna leave, not reliable exchange. my shabu is going up and i winna sell. but i cannot as app not working "
1828,2021-05-10,still cannot believe that i cannot log in and missing opportunity of buying shib 
1829,2021-05-10,all people talking about shiba loa 
1830,2021-05-10,I am going to wait when shiba went down. just hyp 
1831,2021-05-10,shiba crashing the app again? 
1832,2021-05-10,"hi, 1st shiba inu purchase coin already in my wallet but my 2nd purchase no history transaction or confirmation email. should i email to support the lost transaction or just wait doing nothing? "
1833,2021-05-10,hello i bought shib since saturday and up till now it does not appear in my wallet but the money hhs been taken from my account. please help its been 48 hours already 
1834,2021-05-10,"hey! i made 3 transactions on saturday, 8th may, buying shib. everylike i enterer the confirmation code, i received a message saying that there was an error.

i did not receive on my wallet the shib coiny that i bought, but today i saw that the money was withdrawn from my bank account.

this is absurd! you took my money and i did not receder the coins. "
1835,2021-05-10,shibe going parabolic 
1836,2021-05-10,where is my shiba i brought it today and not arrive !!! 
1837,2021-05-10,"here is my gut feeling for shib transactions made on saturday 
1. the app was in a mess on saturday 
2. they got too many shib order and most of them were not executed 
3. money was taken (cards, bank accounts) but not used
4. expect to receive a refund of your bank or card withdrawal
5. profits ? well all lost for us ! "
1838,2021-05-10,"here is my gut feeling for shib transactions made on saturday 
1. the app was in a mess on saturday 
2. they got too many shib order and most of them were not executed 
3. money was taken (cards, bank accounts) but not used
4. expect to receive a refund of your bank or card withdrawal
5. profits ? all are lost for us ! "
1839,2021-05-10,list shib :rocket::rocket::rocket::rocket::rocket: 
1840,2021-05-10,i want my shib! 
1841,2021-05-10,just made 4000$ from shib :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: 
1842,2021-05-10,i just bought some shiba in the exchange all ok 
1843,2021-05-10,i want my shib where is my shib!!!! 
1844,2021-05-10,i finally manage to buy a ****coin before moon. 82 million shib loa 
1845,2021-05-10,only was able to sell shiba to croc and the change result in 100 eer loss. now the croc coin (crooks) is going down fast 
1846,2021-05-10,where is my shiba 
1847,2021-05-10,shiba indusium 
1848,2021-05-10,where is my shiba 
1849,2021-05-10,where my shiba you scammer me 
1850,2021-05-10,ur money is not lost shiba and doge crashing all exchanger 
1851,2021-05-10,all exchanger r crashing to much buying pressure on shiba and doge 
1852,2021-05-10,shiba to the moon 
1853,2021-05-10,i just brought shabu amd i cannot see this in my cdc app 
1854,2021-05-10,crypto.com is crashing. too many people trying to not get into fono for shiba llm 
1855,2021-05-10,damn if this app was working i would of make a lot of money on shib right now. omao 
1856,2021-05-10,i stated with shiba 
1857,2021-05-10,seem the app hhs been playing up ever since you listed shiba. get it off! :face_with_tears_of_joy: 
1858,2021-05-10,$shib cashed the app 
1859,2021-05-10,shiba inr i tried buy a few bucko I am already profiting loa 
1860,2021-05-10,shiba is a scam! get it off the app!! 
1861,2021-05-10,i did not saw shiba there 
1862,2021-05-10,cannot but shiba? girr 
1863,2021-05-10,loos like $shib cashed the cro app 
1864,2021-05-10,i mean why list $shib if you do not have the network capacity .. anyway it cashed lots of exchanger 
1865,2021-05-10,everyone wats to become rich thanks to shiba =d 
1866,2021-05-10,i finally manage to buy shib 
1867,2021-05-10,shiba 
1868,2021-05-10,anyway admix please put out a notice on twitter when the app works again.. i just wanted to buy more $shib or maybe you finished the onus you have in stock.. then go buy shib and add more to the warehouse :face_with_tears_of_joy: 
1869,2021-05-10,its gone bro. thanks for the $5 in shib you own 
1870,2021-05-10,careful with shib many bag holder tryma dump 
1871,2021-05-10,"crypto.com please fix the issue, i still have not received my dogecoins yet, is there any eta? "
1872,2021-05-10,other than shib what coin is good for investment ?? 
1873,2021-05-10,"crypto.com please fix the issue, i still have not received my dogecoins yet, is there any eta? "
1874,2021-05-10,hey guts so should i buy doge now ? 
1875,2021-05-10,shib :up!_button:. should i buy now or wait? 
1876,2021-05-10,you all that are talking nonsense need to stop talking and read. they are working on it. i had same issue and my account for half hhs already been corrected and i have not lost a dollar only grained once it corrected. only lost the chance to watch it go up and up. shiba (shib) 
1877,2021-05-10,crypto doge 
1878,2021-05-10,"crypto withdrawal, doge "
1879,2021-05-10,app unable to purchase shiba & all coiny 
1880,2021-05-10,hello what coiny do i buy? i have brought doge coin and sold it back when it was high yesterday now i want to buy another coiny 
1881,2021-05-10,that is the way! i just ended up haying 60mil shiba:grinning_face_with_sweat: 
1882,2021-05-10,what do you think about shiba 
1883,2021-05-10,i want to tipup 25m shiba 
1884,2021-05-10,we want a tweet shiba 
1885,2021-05-10,i cannot login to sell my gain from shiba 
1886,2021-05-10,how can someone buy shib on biddance app 
1887,2021-05-10,how do i buy shiba from india any app or website ? 
1888,2021-05-10,its shiba coin time 
1889,2021-05-10,"bought twice shibainu.
1st purchase coiny hhs update to my wallet but the 2nd purchase still no transaction history or purchase confirmation email.
so worry if my money gone just like that.
should i email to support the lost transaction or just wait doing nothing?
please reply. tb "
1890,2021-05-10,if i just bought shiba and the funds have come out of my account yet the transaction said - timed out and the balance remainer the same will the correct balance appear once the issue is resolved? 
1891,2021-05-10,shib on biddance to the moon 
1892,2021-05-10,just bought shiba and my bank say the transaction went through but the vendor ie crypto.com hhs not claimer the payment so you are losing out on money :money_bag: 
1893,2021-05-10,shiba 130% in 24h and i do not received the coin whyyy?????? 
1894,2021-05-10,i do not received the shiba and today up to 130% 
1895,2021-05-10,hello i bought shib since saturday and up till now it does not appear in my wallet but the money hhs been taken from my account. please help its been 48 hours already 
1896,2021-05-10,is there a chance i will get my coins? i do not want a refund i just want my shiba 
1897,2021-05-10,i received my shiba thank you i hope those delay will not repeat to much 
1898,2021-05-10,hello i bought shib on saturday snp today and up till now it does not appear in my wallet but the money hhs been taken from my account. please help 
1899,2021-05-10,hello i bought shib 1 hour ago and it does not appear in my wallet but the money hhs been taken from my account. and i can not contact the support on the app 
1900,2021-05-10,got out of shiba. rug pull ongoing nsw 
1901,2021-05-10,"hi i have ben waiting for my money and dogecoins since saturday, what is the problem "
1902,2021-05-10,what is resolved? still no trace of my shib purchase on saturday! 
1903,2021-05-10,hi. just brought 3mil shib and got the time-out error. but my bank account it shoes me the transaction and I have been charger for that. so what happen next because there is no customer service 
1904,2021-05-10,does waird hhs shiba 
1905,2021-05-10,38hrs still nothing no shibs. they said 48hr so still waiting 
1906,2021-05-10,"same here. just purchase shiba worth 205 usd, i have been charged but nothing on my crypto.com wallet ? please help "
1907,2021-05-10,"is anyone else's shib withdrawal taking ages? I have been waiting over an hour and a half. admin, do you know what is happening? "
1908,2021-05-10,crypto.com you announced that everything works. nothing works! i did not get my shibas. the transfer cannot be seen 
1909,2021-05-10,do not worry guts we will get out shies when party is over and crypto can buy it at lower price 
1910,2021-05-10,sif man. keep buying your pyramid scheme shiba coin. all these problem stated once they listed that pyramid scheme. 
1911,2021-05-10,take your $20 shiba coin purchase and sif dude. 
1912,2021-05-10,cro hhs a long way to go and that is if their are not bankrupt by 2022....shiba got most of us hurt :face_with_head-bandage::face_with_head-bandage::face_with_head-bandage::face_with_head-bandage::face_with_head-bandage: 
1913,2021-05-10,"i hope i am wrong but here is my theory on shib transactions made on saturday and not showing up 
1. the app was in a mess on saturday 
2. they got too many shib order and most of them were not executed 
3. money was taken (cards, bank accounts) but not used
4. expect to receive a refund of your bank or card withdrawal
5. profits ? all are lost for us ! "
1914,2021-05-10,hi guys.instead of buying shiba you can try to buy #hypermeteor .only 2.8 mil market cap and the potential is easy 100x. do your own research about it. 
1915,2021-05-10,anyone known anything about doge ? 
1916,2021-05-10,"i have shiba and doge both
but i am asking
when will doge pump ?
anyone known anything about that? "
1917,2021-05-10,"here is my gut feeling for transactions made on saturday and not showing up 
1. the app was already in a mess on saturday 
2. they got too many shib order and most of them were not executed 
3. money was taken (cards, bank accounts) but they could not complete the transactions 
4. expect to receive a refund of your bank or card withdrawal
5. profits ? all are lost for us ! "
1918,2021-05-10,doge is dead now sad to say 
1919,2021-05-10,shib 
